site     long.      lat. 	   X		   Y		    Z 		 s_year  e_year    d_year
---------------------------------------------------------------------------------------------------------
 ABRA  -65.6973  -22.7220     2423793.3266    -5367435.0175    -2449718.3806    2013.892 2020.078   6.19 
 ADAT  -70.7453  -27.2394     1871470.2759    -5357656.3074    -2901989.0747    2013.697 2014.023   0.33 
 AEDA  -70.1777  -20.5462     2026140.5749    -5620942.9891    -2224451.8739    2003.936 2020.116  16.18 
 ALUM  -66.5966  -27.3234     2253309.6560    -5206250.7645    -2911357.3225    2008.791 2021.985  13.19 
 ANTC  -71.5321  -37.3387     1608539.5271    -4816369.7155    -3847798.5564    2002.497 2021.988  19.49 
 AREQ  -71.4928  -16.4655     1942826.7593    -5804070.2423    -1796893.9190    2000.001 2021.988  21.99 
 ARJF  -78.8366  -33.6290     1029312.0114    -5215909.6701    -3512481.2770    2013.711 2021.338   7.63 
 ASC1  -14.4121   -7.9512     6118526.0494    -1572344.7101     -876451.1249    2000.001 2007.673   7.67 
 ASCG  -14.3327   -7.9163     6121151.5634    -1563978.9262     -872615.3565    2015.714 2021.988   6.27 
 ATJN  -70.1368  -19.3008     2046599.4111    -5665019.4831    -2095333.3715    2005.821 2021.988  16.17 
 ATOR  -70.9553  -29.6380     1810687.3659    -5245332.8230    -3136046.7405    2017.245 2018.552   1.31 
 AZUL  -59.8813  -36.7670     2566993.1248    -4424962.8010    -3796807.7518    2007.659 2021.988  14.33 
 BCAR  -58.3011  -37.7612     2652930.0643    -4295643.4779    -3884618.4705    2009.536 2021.988  12.45 
 BINP  -70.8575  -27.1326     1862659.3218    -5366158.3766    -2891322.0798    2018.684 2021.985   3.30 
 BRAZ  -47.8779  -15.9475     4115014.0778    -4550641.5360    -1741444.0160    2000.001 2021.988  21.99 
 BRFT  -38.4255   -3.8774     4985393.5212    -3954993.4148     -428426.6975    2005.708 2021.988  16.28 
 BTON  -71.4872  -30.2632     1750673.0584    -5228329.7311    -3195631.9572    2007.001 2021.344  14.34 
 CABR  -71.2963  -34.2854     1691783.3589    -4997087.5514    -3572794.9942    2010.190 2011.719   1.53 
 CATA  -65.7741  -28.4710     2302597.6581    -5117329.0732    -3022751.2703    2008.725 2021.988  13.26 
 CBAA  -68.4481  -22.7464     2163014.2761    -5476592.3838    -2452199.3014    2006.749 2021.988  15.24 
 CDLC  -69.7615  -22.1896     2044587.7887    -5545532.2630    -2394624.2066    2006.760 2020.837  14.08 
